Codi_Barri,Nom_Barri,Any,Superfície (ha)
54,Torre Baró,2015,176.8
55,Ciutat Meridiana,2015,35.5
56,Vallbona,2015,59.8
57,la Trinitat Vella,2015,81.0
58,Baró de Viver,2015,23.0
59,el Bon Pastor,2015,188.2
60,Sant Andreu,2015,184.1
61,la Sagrera,2015,97.2
62,el Congrés i els Indians,2015,40.7
63,Navas,2015,42.3
64,el Camp de l'Arpa del Clot,2015,74.2
65,el Clot,2015,69.6
66,el Parc i la Llacuna del Poblenou,2015,111.4
67,la Vila Olímpica del Poblenou,2015,94.3
68,el Poblenou,2015,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2015,123.7
70,el Besòs i el Maresme,2015,127.4
71,Provençals del Poblenou,2015,110.5
72,Sant Martí de Provençals,2015,74.5
73,la Verneda i la Pau,2015,112.3
1,el Raval,2014,109.8
2,el Barri Gòtic,2014,84.2
3,la Barceloneta,2014,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2014,111.4
5,el Fort Pienc,2014,92.9
6,la Sagrada Família,2014,105.1
7,la Dreta de l'Eixample,2014,212.3
8,l'Antiga Esquerra de l'Eixample,2014,123.4
9,la Nova Esquerra de l'Eixample,2014,133.8
10,Sant Antoni,2014,80.1
11,el Poble Sec,2014,460.5
12,la Marina del Prat Vermell,2014,1428.4
13,la Marina de Port,2014,125.5
14,la Font de la Guatlla,2014,30.2
15,Hostafrancs,2014,41.0
16,la Bordeta,2014,57.7
17,Sants - Badal,2014,41.1
18,Sants,2014,109.8
19,les Corts,2014,141.3
20,la Maternitat i Sant Ramon,2014,190.3
21,Pedralbes,2014,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2014,1152.2
23,Sarrià,2014,304.2
24,les Tres Torres,2014,78.8
25,Sant Gervasi - la Bonanova,2014,223.5
26,Sant Gervasi - Galvany,2014,165.9
27,el Putxet i el Farró,2014,84.6
28,Vallcarca i els Penitents,2014,120.9
29,el Coll,2014,35.8
30,la Salut,2014,64.3
31,la Vila de Gràcia,2014,132.6
32,el Camp d'en Grassot i Gràcia Nova,2014,65.0
33,el Baix Guinardó,2014,56.0
34,Can Baró,2014,38.4
35,el Guinardó,2014,130.8
36,la Font d'en Fargues,2014,65.7
37,el Carmel,2014,94.2
38,la Teixonera,2014,33.7
39,Sant Genís dels Agudells,2014,171.6
40,Montbau,2014,204.7
41,la Vall d'Hebron,2014,73.6
42,la Clota,2014,17.8
43,Horta,2014,308.2
44,Vilapicina i la Torre Llobeta,2014,56.7
45,Porta,2014,84.1
46,el Turó de la Peira,2014,35.4
47,Can Peguera,2014,12.0
48,la Guineueta,2014,61.1
49,Canyelles,2014,79.3
50,les Roquetes,2014,64.2
51,Verdun,2014,23.7
52,la Prosperitat,2014,59.5
53,la Trinitat Nova,2014,56.0
54,Torre Baró,2014,176.8
55,Ciutat Meridiana,2014,35.5
56,Vallbona,2014,59.8
57,la Trinitat Vella,2014,81.0
58,Baró de Viver,2014,23.0
59,el Bon Pastor,2014,188.2
60,Sant Andreu,2014,184.1
61,la Sagrera,2014,97.2
62,el Congrés i els Indians,2014,40.7
63,Navas,2014,42.3
64,el Camp de l'Arpa del Clot,2014,74.2
65,el Clot,2014,69.6
66,el Parc i la Llacuna del Poblenou,2014,111.4
67,la Vila Olímpica del Poblenou,2014,94.3
68,el Poblenou,2014,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2014,123.7
70,el Besòs i el Maresme,2014,127.4
71,Provençals del Poblenou,2014,110.5
72,Sant Martí de Provençals,2014,74.5
73,la Verneda i la Pau,2014,112.3
1,el Raval,2013,109.8
2,el Barri Gòtic,2013,84.2
3,la Barceloneta,2013,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2013,111.4
5,el Fort Pienc,2013,92.9
6,la Sagrada Família,2013,105.1
7,la Dreta de l'Eixample,2013,212.3
8,l'Antiga Esquerra de l'Eixample,2013,123.4
9,la Nova Esquerra de l'Eixample,2013,133.8
10,Sant Antoni,2013,80.1
11,el Poble Sec,2013,460.5
12,la Marina del Prat Vermell,2013,1428.4
